Species,Handling,Gape_width
Agelaioides_badius,pulp_consumer,9.84
Elaenia_parvirostris,gulper,9.48
Icterus_cayanensis,pulp_consumer,10.08
Mimus_saturninus,gulper,11.25
Myiopsitta_monachus,pulp_consumer,14.01
Paroaria_coronata,pulp_consumer,10.97
Parula_pitiayumi,pulp_consumer,4.93
Patagioenas_picazuro,gulper,10.71
Pitangus_sulphuratus,gulper,16.9
Thraupis_bonariensis,pulp_consumer,10.47
Turdus_amaurochalinus,gulper,12.24
Turdus_rufiventris,gulper,12.25
Tyrannus_melancholicus,gulper,14.27
Zonotrichia_capensis,pulp_consumer,8.61
