Tree,Year,Fruit_crop,Fruit_diameter,Sugar_concentration,Effort
D1_145,2013,65446,9.065,21.19,3
D1_146,2013,5084,8.966,23.93,3
D1_147,2013,45918,7.903,26.17,3
D1_148,2013,14514,8.938,24.23,3
P1_10,2013,1875,8.517,20.74,3
P1_11,2013,56171,8.513,21.08,3
P1_12,2013,1901,9.827,17.68,3
P1_13,2013,23266,9.223,19.96,3
P1_2,2013,1999,9.029,16.93,3
P1_5_1,2013,15678,8.517,19.38,3
P1_5_2,2013,7876,8.369,25.61,3
P1_7,2013,7032,8.616,22.08,3
P1_8,2013,13,8.109,17.75,3
P1_9,2013,15448,8.815,20.08,3
P2_150,2013,5048,8.164,24.89,3
P2_151,2013,285005,9.889,21.37,3
P2_152,2013,84540,8.245,24.06,3
P2_153,2013,12197,8.4,25.29,3
P2_154,2013,233282,7.162,23.5,3
P2_155,2013,2378,8.538,20.26,3
P3_1,2013,20387,7.92,26.89,3
P3_2,2013,78827,7.709,23.97,3
P3_6,2013,13908,7.558,24.57,3
P3_7,2013,100271,8.423,28.8,3
A18,2014,5837,8.594,21.15,2
A22,2014,2719,9.084,18.225,2
A25,2014,7363,7.561,25.775,2
A30,2014,34290,8.248,21.875,2
B3,2014,2638,7.101,19.325,2
B4,2014,6367,8.896,18.15,2
B5,2014,19767,8.333,19.775,2
B6,2014,3569,8.037,25.125,2
C2,2014,25030,9.705,19.15,2
C6,2014,83860,8.419,17.7,2
C8,2014,27775,9.668,12.375,2
C10,2014,3457,8.168,18,2
D3,2014,808,8.734,20.9,2
D5,2014,3191,8.575,18.725,2
D8,2014,24925,8.122,17.325,2
D10,2014,22987,7.946,18.55,2
E3,2014,9159,8.194,20.075,2
E6,2014,7288,8.437,16.05,2
E10,2014,16635,9.05,18.6,2
E11,2014,18154,9.158,21.175,2
G1,2014,706,7.447,20.7,2
G2,2014,20517,8.316,18.95,2
G3,2014,55068,8.674,21.225,2
G4,2014,16816,7.665,19.75,2
H1,2014,12679,9.02,15.95,2
H2,2014,8354,8.578,17.675,2
H3,2014,6398,8.531,14.85,2
H5,2014,12087,7.796,15.825,2
H6,2014,6378,7.76,19.225,2
I1,2014,9505,8.899,20.4,2
I2,2014,15730,8.231,21.85,2
I06,2014,11106,7.986,16.125,2
I07,2014,4365,9.539,16.55,2
PE2,2015,147,6.929,23.6,2
PE4,2015,1736,8.404,18.65,2
PE5,2015,566,8.235,19.5,2
PE6,2015,82,7.281,28.975,2
PE7,2015,96,7.344,20.425,2
PE8,2015,1141,8.344,20.5,2
PG1,2015,1071,9.349,20.275,2
PG10,2015,884,8.934,22.8,2
PG2,2015,1610,10.076,20.25,2
PG3,2015,1114,8.269,24.95,2
PG4,2015,8317,7.257,26.15,2
PG5,2015,218,6.937,27.925,2
PG6,2015,115,8.769,27.1,2
PG7,2015,1627,8.758,20.15,2
PG8,2015,760,8.262,19.8,2
PG9,2015,1915,8.248,17.444,2
PH1,2015,86,8.454,22.875,2
PH10,2015,697,7.316,19.275,2
PH11,2015,358,9.142,18.175,2
PH12,2015,664,7.697,26.1,2
PH13,2015,575,7.58,27,2
PH14,2015,473,9.498,21.05,2
PH2,2015,680,7.08,32.2,2
PH3,2015,454,7.333,21.35,2
PH4,2015,519,8.55,17,2
PH5,2015,52,9.006,19.425,2
PH6,2015,171,9.076,22.35,2
PH7,2015,16,7.714,21.35,2
PH8,2015,4069,8.59,22.2,2
PH9,2015,356,8.01,20.075,2
PI1,2015,117,8.392,21.95,2
PI2,2015,221,7.683,18.025,2
PI3,2015,93,8.546,21.65,2
PI4,2015,177,8.745,19.375,2
PJ1,2015,465,7.834,22.417,2
PJ2,2015,139,7.132,27,2
PJ3,2015,217,8.797,17.3,2
PJ4,2015,1434,8.619,18.325,2
PJ5,2015,145,7.755,23.833,2
PJ6,2015,101,7.854,22.65,2
PJ7,2015,575,8.148,25.575,2
PJ8,2015,2196,8.854,22.75,2
PJ9,2015,3261,10.131,20,2
PK1,2015,5026,8.956,21.65,2
PK2,2015,4889,9.06,20.125,2
PK3,2015,301,9.225,17.4,2
PK4,2015,339,7.023,18.3,2
PK5,2015,4137,7.785,19.7,2
PK6,2015,8,7.324,19.3,2
PK7,2015,2245,8.146,22.45,2
PK8,2015,1257,8.486,20.65,2
PK9,2015,1260,6.959,22.175,2
PL1,2015,2720,8.246,18.45,2
PM1,2015,24,8.968,16.075,2
PM2,2015,1014,9.316,20.25,2
PM3,2015,138,8.82,21.75,2
PM4,2015,348,7.316,17.45,2
PM5,2015,57,8.477,17.775,2
PM6,2015,2240,8.903,20.85,2
PM7,2015,8971,9.127,26.15,2
PM8,2015,1199,7.463,23.125,2
PN1,2015,627,8.529,20.75,2
PN10,2015,24,8.165,16.05,2
PN11,2015,1797,8.036,19.75,2
PN12,2015,105,7.87,20.775,2
PN13,2015,1534,8.575,22.8,2
PN14,2015,838,8.503,25.475,2
PN15,2015,1611,7.461,19.925,2
PN16,2015,2603,9.076,19.5,2
PN17,2015,2337,8.558,18.825,2
PN18,2015,1043,8.747,22,2
PN19,2015,303,8.488,23.583,2
PN2,2015,46,7.662,18.9,2
PN20,2015,2166,7.507,23.775,2
PN21,2015,86,8.828,23,2
PN23,2015,1023,8.913,23.9,2
PN24,2015,2732,8.513,21.75,2
PN25,2015,98,8.385,18.55,2
PN26,2015,3330,8.888,17.15,2
PN27,2015,56,9.801,18.025,2
PN28,2015,295,8.582,22.25,2
PN3,2015,1137,8.503,19.6,2
PN4,2015,109,8.676,21.9,2
PN5,2015,6912,7.903,24.4,2
PN6,2015,836,10.061,23.3,2
PN7,2015,1854,9.769,17.725,2
PN8,2015,690,8.178,17.425,2
PN9,2015,668,8.953,20.225,2
PO1,2015,407,7.249,19.8,2
PO2,2015,451,7.627,21.3,2
PO3,2015,2241,7.641,23.2,2
PP1,2015,4158,8.489,21.5,2
PP2,2015,188,8.583,20.675,2
PP3,2015,4030,9.086,21.275,2
PP4,2015,1404,9.202,23.225,2
PP5,2015,1494,9.824,20.825,2
PP6,2015,411,9.511,21.25,2
PP7,2015,808,7.749,20.525,2
PP8,2015,220,9.263,17.275,2
PP9,2015,2197,8.41,27.475,2
